Wavelength (nm)	L03 abs e
427.50	1040.9
427.75	996.33
428.00	989.62
428.25	922.50
428.50	862.71
428.75	981.08
429.00	1007.9
429.25	1049.4
429.50	1133.6
429.75	1084.8
430.00	1091.5
430.25	1089.1
430.50	1028.1
430.75	1187.9
431.00	1212.9
431.25	920.67
431.50	1075.0
431.75	1197.7
432.00	1002.4
432.25	1087.2
432.50	1037.2
432.75	1119.6
433.00	1241.6
433.25	1330.1
433.50	1295.3
433.75	1207.4
434.00	1322.1
434.25	1170.2
434.50	1238.5
434.75	1243.4
435.00	1387.4
435.25	1373.4
435.50	1331.9
435.75	1400.2
436.00	1312.4
436.25	1350.8
436.50	1434.4
436.75	1368.5
437.00	1393.5
437.25	1452.1
437.50	1471.6
437.75	1403.3
438.00	1357.5
438.25	1568.6
438.50	1389.9
438.75	1555.2
439.00	1647.9
439.25	1608.3
439.50	1500.9
439.75	1723.0
440.00	1599.1
440.25	1566.2
440.50	1593.0
440.75	1705.9
441.00	1776.7
441.25	1676.0
441.50	1699.8
441.75	1756.5
442.00	1680.3
442.25	1640.0
442.50	1801.7
442.75	1907.9
443.00	1801.1
443.25	1880.4
443.50	1900.5
443.75	1848.1
444.00	1906.6
444.25	1776.1
444.50	2028.0
444.75	1926.2
445.00	2148.8
445.25	1959.7
445.50	2042.1
445.75	1979.8
446.00	2049.4
446.25	1843.8
446.50	2122.0
446.75	2222.1
447.00	2104.9
447.25	2241.0
447.50	2188.5
447.75	2248.9
448.00	2349.0
448.25	2177.5
448.50	2188.5
448.75	2209.3
449.00	2208.0
449.25	2378.9
449.50	2297.7
449.75	2549.1
450.00	2651.0
450.25	2467.9
450.50	2646.1
450.75	2513.1
451.00	2609.5
451.25	2652.2
451.50	2677.2
451.75	2667.5
452.00	2606.4
452.25	2640.0
452.50	2656.5
452.75	2726.6
453.00	2899.9
453.25	2827.9
453.50	2992.0
453.75	2924.3
454.00	3046.9
454.25	3014.0
454.50	2984.7
454.75	3108.0
455.00	3148.8
455.25	3136.6
455.50	3196.4
455.75	3130.5
456.00	3243.4
456.25	3160.4
456.50	3342.9
456.75	3184.2
457.00	3313.6
457.25	3425.2
457.50	3319.1
457.75	3424.6
458.00	3419.1
458.25	3458.8
458.50	3486.2
458.75	3755.9
459.00	3676.6
459.25	3707.1
459.50	3780.3
459.75	3787.0
460.00	3891.4
460.25	3867.6
460.50	3666.8
460.75	3897.5
461.00	3902.9
461.25	4049.4
461.50	3925.5
461.75	4191.5
462.00	4067.1
462.25	4256.8
462.50	4270.9
462.75	4299.5
463.00	4469.8
463.25	4460.0
463.50	4351.4
463.75	4535.6
464.00	4432.5
464.25	4590.6
464.50	4471.6
464.75	4555.2
465.00	4572.9
465.25	4608.2
465.50	4719.9
465.75	4793.1
466.00	4913.3
466.25	4857.2
466.50	5016.4
466.75	4985.9
467.00	5046.3
467.25	5197.0
467.50	5276.9
467.75	5068.9
468.00	5259.2
468.25	5312.3
468.50	5373.3
468.75	5334.3
469.00	5364.8
469.25	5487.4
469.50	5631.4
469.75	5712.0
470.00	5750.4
470.25	5712.6
470.50	5823.0
470.75	5793.7
471.00	5837.0
471.25	6072.5
471.50	6086.6
471.75	6093.9
472.00	6194.6
472.25	6218.4
472.50	6345.3
472.75	6542.9
473.00	6405.7
473.25	6536.2
473.50	6744.3
473.75	6519.8
474.00	6629.0
474.25	6667.4
474.50	6741.8
474.75	6798.0
475.00	7040.2
475.25	7053.6
475.50	7078.6
475.75	7227.5
476.00	7104.9
476.25	7258.0
476.50	7370.9
476.75	7454.5
477.00	7525.2
477.25	7644.8
477.50	7768.7
477.75	7793.1
478.00	7924.3
478.25	7940.7
478.50	7975.5
478.75	7964.5
479.00	8148.8
479.25	8370.9
479.50	8377.0
479.75	8376.4
480.00	8571.6
480.25	8688.7
480.50	8666.8
480.75	8583.8
481.00	8911.4
481.25	8824.2
481.50	8946.2
481.75	8963.9
482.00	9143.3
482.25	9155.5
482.50	9198.2
482.75	9372.1
483.00	9357.4
483.25	9650.9
483.50	9662.5
483.75	9713.7
484.00	9772.9
484.25	9888.2
484.50	10094
484.75	10080
485.00	10130
485.25	10170
485.50	10396
485.75	10505
486.00	10652
486.25	10639
486.50	10637
486.75	10785
487.00	10983
487.25	10887
487.50	11276
487.75	11263
488.00	11249
488.25	11492
488.50	11614
488.75	11591
489.00	11836
489.25	11968
489.50	11995
489.75	12146
490.00	12041
490.25	12301
490.50	12243
490.75	12514
491.00	12508
491.25	12641
491.50	12938
491.75	12997
492.00	13282
492.25	13093
492.50	13305
492.75	13443
493.00	13338
493.25	13628
493.50	13836
493.75	13795
494.00	13855
494.25	13999
494.50	14023
494.75	14287
495.00	14309
495.25	14379
495.50	14842
495.75	14759
496.00	14958
496.25	14942
496.50	14944
496.75	15219
497.00	15412
497.25	15572
497.50	15750
497.75	15692
498.00	15826
498.25	15935
498.50	16057
498.75	16368
499.00	16366
499.25	16725
499.50	16712
499.75	16926
500.00	17151
500.25	17212
500.50	17423
500.75	17578
501.00	17590
501.25	17838
501.50	17880
501.75	17897
502.00	18232
502.25	18440
502.50	18711
502.75	18875
503.00	18969
503.25	19089
503.50	19172
503.75	19444
504.00	19418
504.25	19460
504.50	19765
504.75	20022
505.00	19980
505.25	20275
505.50	20603
505.75	20673
506.00	20814
506.25	21185
506.50	21303
506.75	21415
507.00	21441
507.25	21648
507.50	21881
507.75	22041
508.00	22188
508.25	22501
508.50	22500
508.75	22764
509.00	23077
509.25	23239
509.50	23380
509.75	23524
510.00	23801
510.25	23980
510.50	24336
510.75	24337
511.00	24310
511.25	24564
511.50	24530
511.75	24877
512.00	25117
512.25	25589
512.50	25585
512.75	25847
513.00	26324
513.25	26148
513.50	26559
513.75	26642
514.00	27042
514.25	26911
514.50	27336
514.75	27530
515.00	27647
515.25	28047
515.50	28094
515.75	28500
516.00	28739
516.25	28966
516.50	29231
516.75	29344
517.00	29743
517.25	29759
517.50	29999
517.75	30261
518.00	30467
518.25	30685
518.50	30764
518.75	31143
519.00	31288
519.25	31453
519.50	31800
519.75	31998
520.00	32402
520.25	32509
520.50	32677
520.75	32759
521.00	32966
521.25	33219
521.50	33532
521.75	33635
522.00	33954
522.25	34189
522.50	34451
522.75	34840
523.00	34886
523.25	35032
523.50	35174
523.75	35615
524.00	35604
524.25	35838
524.50	36169
524.75	36200
525.00	36528
525.25	36865
525.50	36828
525.75	37269
526.00	37321
526.25	37761
526.50	37814
526.75	38169
527.00	38394
527.25	38510
527.50	38827
527.75	38835
528.00	39135
528.25	39328
528.50	39693
528.75	39779
529.00	40064
529.25	40285
529.50	40512
529.75	40743
530.00	40722
530.25	41138
530.50	41227
530.75	41522
531.00	41718
531.25	41746
531.50	41924
531.75	42328
532.00	42530
532.25	42554
532.50	42917
532.75	43177
533.00	43305
533.25	43656
533.50	43765
533.75	44076
534.00	43981
534.25	44275
534.50	44153
534.75	44396
535.00	44526
535.25	44574
535.50	44732
535.75	45239
536.00	45332
536.25	45658
536.50	45676
536.75	45912
537.00	45787
537.25	46211
537.50	46281
537.75	46410
538.00	46840
538.25	46766
538.50	46948
538.75	47052
539.00	47179
539.25	47478
539.50	47500
539.75	47611
540.00	47801
540.25	48045
540.50	47926
540.75	48230
541.00	48396
541.25	48395
541.50	48797
541.75	48868
542.00	48935
542.25	49204
542.50	49467
542.75	49356
543.00	49710
543.25	49561
543.50	49682
543.75	49711
544.00	49860
544.25	50007
544.50	50085
544.75	50237
545.00	50302
545.25	50648
545.50	50516
545.75	50650
546.00	50710
546.25	50710
546.50	51173
546.75	51068
547.00	51175
547.25	51310
547.50	51100
547.75	51262
548.00	51270
548.25	51483
548.50	51588
548.75	51664
549.00	51842
549.25	52045
549.50	51973
549.75	51678
550.00	51930
550.25	52051
550.50	52165
550.75	52336
551.00	52485
551.25	52586
551.50	52576
551.75	52523
552.00	52599
552.25	52855
552.50	52827
552.75	52734
553.00	52970
553.25	53009
553.50	53116
553.75	53298
554.00	53163
554.25	53215
554.50	53355
554.75	53617
555.00	53364
555.25	53610
555.50	53686
555.75	53453
556.00	53827
556.25	53892
556.50	53999
556.75	54037
557.00	54223
557.25	54199
557.50	54212
557.75	54472
558.00	54258
558.25	54287
558.50	54456
558.75	54578
559.00	54476
559.25	54879
559.50	54858
559.75	54920
560.00	55187
560.25	55167
560.50	55309
560.75	55247
561.00	55456
561.25	55669
561.50	55625
561.75	55555
562.00	55558
562.25	55952
562.50	55936
562.75	55704
563.00	56270
563.25	56170
563.50	56407
563.75	56627
564.00	56605
564.25	56756
564.50	56860
564.75	57111
565.00	57087
565.25	57270
565.50	57375
565.75	57531
566.00	57435
566.25	57575
566.50	57686
566.75	58291
567.00	58450
567.25	58243
567.50	58538
567.75	58669
568.00	58933
568.25	59185
568.50	59231
568.75	59499
569.00	59548
569.25	59733
569.50	59932
569.75	60015
570.00	60267
570.25	60791
570.50	60658
570.75	61123
571.00	61054
571.25	61537
571.50	61523
571.75	61681
572.00	61993
572.25	62293
572.50	62391
572.75	62627
573.00	62821
573.25	63131
573.50	63246
573.75	63541
574.00	63646
574.25	63857
574.50	63882
574.75	64182
575.00	64175
575.25	64533
575.50	64865
575.75	65073
576.00	65575
576.25	65502
576.50	66053
576.75	66035
577.00	66326
577.25	66730
