Wavelength (nm)	L02 abs e
397.00	10380
397.25	10795
397.50	10599
397.75	10545
398.00	10664
398.25	10559
398.50	10797
398.75	11085
399.00	11157
399.25	10862
399.50	10918
399.75	11017
400.00	11011
400.25	11400
400.50	11203
400.75	11749
401.00	11191
401.25	11516
401.50	11894
401.75	11768
402.00	11753
402.25	11569
402.50	11815
402.75	11972
403.00	11820
403.25	12079
403.50	12445
403.75	12491
404.00	12389
404.25	12339
404.50	12603
404.75	12447
405.00	12781
405.25	12594
405.50	12932
405.75	12931
406.00	13097
406.25	12879
406.50	13417
406.75	13296
407.00	13334
407.25	13361
407.50	13508
407.75	13240
408.00	13612
408.25	13451
408.50	13783
408.75	14027
409.00	13837
409.25	13691
409.50	13639
409.75	14340
410.00	14338
410.25	14058
410.50	14098
410.75	14548
411.00	14389
411.25	14505
411.50	14417
411.75	14526
412.00	14547
412.25	14712
412.50	14605
412.75	14828
413.00	15084
413.25	14854
413.50	14910
413.75	15270
414.00	15312
414.25	15437
414.50	15529
414.75	15444
415.00	15030
415.25	15142
415.50	15471
415.75	15600
416.00	15603
416.25	15772
416.50	15661
416.75	15484
417.00	15970
417.25	15892
417.50	15759
417.75	15848
418.00	15850
418.25	16328
418.50	16174
418.75	16401
419.00	16392
419.25	16291
419.50	16558
419.75	16309
420.00	16267
420.25	16493
420.50	16574
420.75	16365
421.00	16477
421.25	16528
421.50	16493
421.75	16754
422.00	16941
422.25	16678
422.50	16800
422.75	16980
423.00	16724
423.25	16849
423.50	16983
423.75	17059
424.00	16892
424.25	16730
424.50	16853
424.75	16790
425.00	16844
425.25	16840
425.50	16827
425.75	16816
426.00	17004
426.25	16946
426.50	16720
426.75	16679
427.00	16714
427.25	16914
427.50	16551
427.75	16461
428.00	16580
428.25	16482
428.50	16497
428.75	16635
429.00	16303
429.25	16317
429.50	16162
429.75	16371
430.00	16144
430.25	16262
430.50	15928
430.75	15881
431.00	15741
431.25	15573
431.50	15862
431.75	15805
432.00	15688
432.25	15209
432.50	15542
432.75	15316
433.00	15147
433.25	15208
433.50	15043
433.75	14831
434.00	15164
434.25	14496
434.50	14477
434.75	14504
435.00	14240
435.25	14228
435.50	13930
435.75	14037
436.00	13841
436.25	13535
436.50	13391
436.75	13031
437.00	13271
437.25	12799
437.50	12940
437.75	12616
438.00	12645
438.25	12518
438.50	12591
438.75	12399
439.00	12249
439.25	12126
439.50	12086
439.75	11766
440.00	11785
440.25	11305
440.50	11341
440.75	11037
441.00	10871
441.25	10916
441.50	10860
441.75	10526
442.00	10189
442.25	10375
442.50	10196
442.75	10115
443.00	9623.1
443.25	9773.9
443.50	9825.9
443.75	9424.5
444.00	9478.5
444.25	9364.2
444.50	8951.3
444.75	9116.7
445.00	8876.5
445.25	8835.9
445.50	8508.3
445.75	8709.0
446.00	8302.4
446.25	8264.0
446.50	8258.8
446.75	8138.1
447.00	8014.4
447.25	7832.4
