Wavelength (nm)	L01 abs e
342.75	4570.0
343.00	4666.9
343.25	4695.5
343.50	4824.2
343.75	4897.7
344.00	4971.7
344.25	5047.4
344.50	5052.4
344.75	5078.6
345.00	5143.3
345.25	5239.8
345.50	5272.5
345.75	5363.1
346.00	5461.6
346.25	5563.2
346.50	5603.1
346.75	5664.3
347.00	5647.3
347.25	5691.3
347.50	5808.4
347.75	5944.9
348.00	6068.9
348.25	6116.6
348.50	6131.5
348.75	6202.2
349.00	6235.7
349.25	6271.5
349.50	6454.2
349.75	6393.2
350.00	6577.3
350.25	6609.1
350.50	6747.5
350.75	6712.3
351.00	6789.5
351.25	6869.1
351.50	6901.9
351.75	6989.7
352.00	7008.7
352.25	7241.8
352.50	7223.0
352.75	7248.1
353.00	7294.2
353.25	7407.8
353.50	7432.9
353.75	7593.7
354.00	7613.5
354.25	7631.7
354.50	7715.4
354.75	7828.8
355.00	7864.6
355.25	8030.3
355.50	8032.6
355.75	8114.3
356.00	8241.2
356.25	8265.4
356.50	8318.7
356.75	8320.5
357.00	8455.6
357.25	8495.1
357.50	8540.0
357.75	8554.5
358.00	8617.5
358.25	8790.0
358.50	8814.8
358.75	8827.7
359.00	8923.9
359.25	9013.1
359.50	9043.3
359.75	9111.4
360.00	9181.3
360.25	9214.0
360.50	9252.2
360.75	9269.1
361.00	9350.2
361.25	9468.2
361.50	9488.3
361.75	9531.5
362.00	9584.6
362.25	9606.6
362.50	9648.5
362.75	9734.9
363.00	9794.4
363.25	9886.7
363.50	9836.8
363.75	9864.6
364.00	9946.4
364.25	10010
364.50	9993.0
364.75	10079
365.00	10187
365.25	10131
365.50	10225
365.75	10283
366.00	10312
366.25	10311
366.50	10348
366.75	10432
367.00	10397
367.25	10391
367.50	10459
367.75	10423
368.00	10517
368.25	10595
368.50	10601
368.75	10583
369.00	10573
369.25	10568
369.50	10550
369.75	10639
370.00	10592
370.25	10591
370.50	10571
370.75	10514
371.00	10531
371.25	10606
371.50	10515
371.75	10570
372.00	10488
372.25	10496
372.50	10416
372.75	10457
373.00	10376
373.25	10395
373.50	10324
373.75	10300
374.00	10284
374.25	10272
374.50	10273
374.75	10201
375.00	10178
